#Size(bytes) MeanAllocTime(cycles) MeanFreeTime(cycles) MeanFreeTimeRFlag(cycles)
8328 3263.3 377.512 4156.31
8338 3273.71 377.898 4171.94
8348 3232.76 375.924 4171.77
8358 3442.6 433.514 3983.36
8368 4608.2 498.26 4217.98
8378 3236.51 395.748 4114.82
8388 3242.63 403.802 4144.19
8398 3237.69 392.722 4201.41
8408 3462.87 394.702 4156.48
8418 3553.59 420.908 4309.29
8428 3312.59 559.788 4162.06
8438 3484.62 402.584 3962.12
8448 3429.31 387.2 3971.36
8458 3560.3 385.698 4212.61
8468 3243.64 387.598 4173.87
8478 3269.51 379.196 4152.26
8488 3492.52 386.096 4211.91
8498 3247.76 408.858 4168.42
8508 3483.43 380.898 4217.91
8518 3338.97 379.658 4154.83
8528 3554.88 384.644 4250.72
8538 3244.98 399.15 4036.81
8548 3429.44 444.6 4107.67
8558 3269.6 393.002 4142.52
8568 3464.04 384.776 4017.24
8578 3418.41 385.863 4261.38
8588 3480.09 439.364 3967.17
8598 3416.74 386.358 4115.55
8608 3260.64 388.342 4219.77
8618 3242.11 379.79 3984.12
8628 3440.75 422 4192
8638 3300.93 508.706 4139.4
8648 3226.26 411.922 3967.08
8658 3398.74 389.058 3959.52
8668 3422.5 399.122 4214.84
8678 3315.65 380.818 4454.04
8688 3260.89 383.244 3953.5
8698 3501.63 387.552 3967.89
8708 3231.92 382.722 4149.37
8718 3257.57 431.3 3982.46
8728 3467.26 391.614 3966.85
8738 3329.57 509.952 4186.22
8748 3310.56 458.52 4344.24
8758 3390.43 396.146 3982.43
8768 3416.55 409.144 3998.85
8778 3325.26 563.617 4313.66
8788 3238.55 410.487 4336.8
8798 3275.69 495.606 4216.05
8808 3327.81 382.846 3984.38
8818 4854.61 517.6 4251.07
8828 3228.72 403.766 4365.69
8838 3409.48 414.106 4174.53
8848 3394.08 406.056 4006.86
8858 3458.67 391.728 4108.55
8868 3421.8 399.058 4160.86
8878 3460.19 395.322 4185.13
8888 3401.87 467.13 4003.77
8898 3453.86 395.962 4149.33
8908 3255.53 448.778 4071.87
8918 3229.28 384.496 3982.88
8928 3320 442.925 3978.25
8938 3423.95 384.316 4151.87
8948 3260.91 383.734 4144.63
8958 3320.1 399.974 4131.39
8968 3297.9 529.664 4006.75
8978 3288.3 539.28 3983.42
8988 3452.83 390.714 3966.13
8998 3570.43 395.036 4038.98
9008 3368.82 392.246 4060.32
9018 3534.82 396.722 3958.71
9028 3403.19 443.137 3955.45
9038 3519.49 390.294 4198.74
9048 3447.97 383.28 4173.8
9058 3418.26 383.598 4182.12
9068 3436.66 384.792 4350.37
9078 4110.03 481.696 4002.29
9088 3939.68 493.754 4349.31
9098 3465.62 475.014 4157.29
9108 3321.94 405.494 4170.68
9118 3267.78 398.026 4183.68
9128 3277.21 398.992 4362.81
9138 3279.67 391.614 4181.79
9148 3306.24 417.416 4209.94
9158 3293.15 401.02 4078.77
9168 3317.86 424.494 4031.86
9178 3307.94 565.516 4045.68
9188 3499.18 413.96 3983.16
9198 3440.57 391.336 4371.33
9208 3889.27 497.512 4180.16
9218 3488.18 390.616 4009.51
9228 3258.78 526.197 4167.42
9238 3343.64 397.166 4464.29
9248 3256.87 389.492 4163.6
9258 3429.76 394.214 3994.76
9268 3410.89 395.707 4178.09
9278 3241.89 385.802 4418.1
9288 3550.3 488.824 4190.07
9298 4380.98 477.338 4244.84
9308 3267.18 412.468 3995.58
9318 3443.29 432.642 3974.98
9328 3573.24 406.23 4185.94
9338 3311.55 513.028 4214.5
9348 3419.99 418.294 3960.88
9358 3501.36 400.966 3969.21
9368 3519.49 411.484 4156.93
9378 3249.7 408.67 4123.14
9388 3354.09 395.88 4091.61
9398 3497.8 471.028 3981.22
9408 3232.12 497.755 4204.01
9418 3790.79 444.884 4175.25
9428 3279.34 394.46 4040.78
9438 3539.72 396.68 4048.14
9448 3243.13 469.541 4130.64
9458 3246.15 383.572 4120.2
9468 4589.98 501.096 4203.69
9478 3585.02 433.76 4026.42
9488 3453.82 443.964 4004.39
9498 3652.62 406.089 4006.71
9508 3301.37 402.23 4092.24
9518 3622.84 448.707 4246.65
9528 3281.37 481.53 4179.5
9538 4188.28 476.722 4230.26
9548 3506.59 396.34 3993.01
9558 3440.4 393.51 4174.7
9568 3273.38 388.28 4473.71
9578 3267.35 399.358 4142.74
9588 3413.35 383.264 4163.36
9598 3374.14 400.669 4199.82
9608 3259.92 388.854 4473.65
9618 3343.2 461.124 4065.17
9628 4066.38 495.456 4202.2
9638 3443.88 393.858 4000.49
9648 3486.43 426.146 4322.58
9658 3297.56 391.82 4222.81
9668 3241.21 386.922 4184.86
9678 3305.43 389.674 4419.02
9688 3237.84 543.757 4038.67
9698 3505.53 389.31 3966.41
9708 3444.67 384.598 3989.64
9718 3553.12 386.114 3980.34
9728 3472.81 388.204 4083.29
9738 3424.84 393.086 4128.5
9748 3412.83 390.974 4203.64
9758 3358.62 390.91 4004.25
9768 3354.99 441.702 4188.31
9778 3480.06 409.758 4135.39
9788 3265.49 384.818 4150.31
9798 3258.58 383.556 3992.17
9808 3263.43 384.756 3973.42
9818 3432.54 395.282 4193.24
9828 3395.33 438.334 4175.76
9838 3317.51 419.67 4002.73
9848 3332.72 469.412 4181.4
9858 3336.26 384.972 4160.34
9868 3274.64 390.964 3995.84
9878 3245.33 402.522 4009.19
9888 3375.15 398.621 4337.66
9898 3512.14 387.084 3987.28
9908 3273.16 481.4 4346.75
9918 4496.95 490.376 4141.98
9928 3229 400.56 4058.98
9938 3305.33 390.36 4035.19
9948 3210.48 425.018 3988.74
9958 3441.24 399.528 4111.44
9968 3289.44 395.926 3956.95
9978 3320.05 493.151 3969.82
9988 3412.17 389.208 4260.11
9998 3284.58 384.526 3958.5
